id_loan,id_direct_loantaker,name_direct_loantaker,id_ultimate_parent,name_ultimate_parent,loan_size_outstanding,loan_size_outstanding_currency,loan_size_credit_limit,loan_size_credit_limit_currency,sector_classification_system,sector_classification_input_type,sector_classification_direct_loantaker,fi_type,flag_project_finance_loan,name_intermediate_parent,name_project,lei_direct_loantaker,isin_direct_loantaker
L14,C14,Yuasfnjiang Elecdtric Psower Corpo,UP14,Affinity Renewables Inc.,187577,EUR,"1858922,7",EUR,NACE,Code,3511,Loan,No,,,,
L15,C15,Yuanbsaoshan Power Generation Co Ltd,UP15,Noshiro Forest Resources Utilization Cooperative Association,192217,EUR,"1863551,7",EUR,NACE,Code,3511,Loan,No,,,,
L16,C16,Yu Zhou 435 Tian Yuan Group,UP16,Ind Power Limited,298009,EUR,"1969092,9",EUR,NACE,Code,3511,Loan,No,,,,
L17,C17,Yu Wsang Shaanxi Huadian Coal Co Ltd,UP17,Agrenewables,205209,EUR,"1876512,9",EUR,NACE,Code,3511,Loan,No,,,,
L18,C18,Ysstterhogdals Elektriska Kraft Ab,UP18,"Helm Concentrates, Inc.",189433,EUR,"1860774,3",EUR,NACE,Code,3511,Loan,No,,,,
L19,C19,Ytre Matrefd Energi As,UP19,Domica Fpi S.R.O.,194073,EUR,"1865403,3",EUR,NACE,Code,3511,Loan,No,,,,
L20,C20,Ytl Powerseraya Pte Ltd,UP20,Bnb Renewable Energy Holdings Llc,308217,EUR,"1979276,7",EUR,NACE,Code,3511,Loan,No,,,,
L21,C21,Ytl Power International Bhd,UP21,Cisa Spa,226553,EUR,"1897806,3",EUR,NACE,Code,3511,Loan,No,,,,
L22,C22,Ytl Corp Bhd,UP22,Mr. Lay Se.,196857,EUR,"1868180,7",EUR,NACE,Code,3511,Loan,No,,,,
L23,C23,Ypic International Energy Cooperation & Development Company,UP23,Wallenstam Vindkraft Nyckeltorp Ab,195929,EUR,"1867254,9",EUR,NACE,Code,3511,Loan,No,,,,
L24,C24,Ypfb Corporacion,UP24,Phoenix Energy,309145,EUR,"1980202,5",EUR,NACE,Code,3511,Loan,No,,,,
L25,C25,Ypf Sa,UP25,Viridian Energy Supply,266457,EUR,"1937615,7",EUR,NACE,Code,3511,Loan,No,,,,
L26,C26,Ypf Energia Electrica Sa,UP26,"Coast Intelligen, Inc",199641,EUR,0,EUR,NACE,Code,3511,Loan,No,,,,
L27,C27,Younicos Ag,UP27,Ce Energy Holding Ag,197785,EUR,0,EUR,NACE,Code,3511,Loan,No,,,,
L28,C28,"Youngduk Wind Power Co., Ltd.",UP28,Northstone Power Corp.,315641,EUR,-5000000,EUR,NACE,Code,3511,Loan,No,,,,
L29,C29,Younas Brothers Group,UP29,Shivnath Rai Harnarain (India) Ltd.,267385,EUR,-242,EUR,NACE,Code,3511,Loan,No,,,,
L30,C30,Yosemite Unified School District,UP30,Bhushan Energy Ltd.,209849,EUR,"1881141,9",EUR,NACE,Code,3511,Loan,No,,,,
L31,C31,Yorkshire Windpower Limited,UP31,Agni Steels Private Limited,204281,EUR,"1875587,1",EUR,NACE,Code,3511,Loan,No,,,,
L32,C32,Yorkshire Water Services Ltd,UP32,Nagpur Tools Pvt. Ltd.,320281,EUR,"1991312,1",EUR,NACE,Code,3511,Loan,No,,,,
L33,C33,York University,UP33,"Pantanal Energetica, Ltda.",378745,EUR,"2049637,5",EUR,NACE,Code,3511,Loan,No,,,,
L34,C34,York Research Corporation,UP34,Fugong Fengyuan Hydropower Development Co. Ltd.,217273,EUR,"1888548,3",EUR,NACE,Code,3511,Loan,No,,,,
L35,C35,York County Solid Waste Authority,UP35,Man Diesel Se,207065,EUR,"1878364,5",EUR,NACE,Code,3511,Loan,No,,,,
L36,C36,York Cogeneration Corporation,UP36,Global Green Power Plc,327705,EUR,"1998718,5",EUR,NACE,Code,3511,Loan,No,,,,
L37,C37,York Capital Management Llc,UP37,Carleton College,220057,EUR,"1891325,7",EUR,NACE,Code,3511,Loan,No,,,,
L38,C38,"Yongzhou Zhongxin Hydropower Development Co., Ltd.",UP38,Soundararaja Mills Limited,223769,EUR,"1895028,9",EUR,NACE,Code,3511,Loan,No,,,,
L39,C39,"Yongzhou Lengshuitan Shunhe Hydropower Co., Ltd.",UP39,Mrs. V. Sabithamani,208921,EUR,"1880216,1",EUR,NACE,Code,3511,Loan,No,,,,
L40,C40,"Yongzhou Jingyuan Integrated Development Co., Ltd.",UP40,South African Renewable Green Energy (Pty) Ltd,350905,EUR,"2021863,5",EUR,NACE,Code,3511,Loan,No,,,,
L41,C41,"Yongren County Wanyuan Hydropower Development Co., Ltd.",UP41,Fg Wilson (Engineering) Limited,275737,EUR,"1946873,7",EUR,NACE,Code,3511,Loan,No,,,,
L42,C42,"Yongji Co-Generation Power Co., Ltd.",UP42,Bethlehem Hydro (Pty) Ltd.,224697,EUR,"1895954,7",EUR,NACE,Code,3511,Loan,No,,,,
L43,C43,Yongcheng Coal & Electricity Holding Group Co Ltd,UP43,Jsw Group,230265,EUR,"1901509,5",EUR,NACE,Code,3511,Loan,No,,,,
L44,C44,Yongchang Dongfang Hydropower Development Co. Ltd.,UP44,Tongaat Hulett Sugar Limited,357401,EUR,"2028344,1",EUR,NACE,Code,3511,Loan,No,,,,
L45,C45,Yondenko Corp,UP45,"Karumai Nishi Solar, Llc.",352761,EUR,"2023715,1",EUR,NACE,Code,3511,Loan,No,,,,
L46,C46,Yonden Engineering Corporation,UP46,Angabergs Lantbruks Ab,311001,EUR,"1982054,1",EUR,NACE,Code,3511,Loan,No,,,,
L47,C47,Yolo County Flood Control & Water Conservation District,UP47,Brikel Ead,411225,EUR,"2082040,5",EUR,NACE,Code,3511,Loan,No,,,,
L48,C48,Yolo County,UP48,Oshawa Power And Utilities Corporation,240473,EUR,"1911693,3",EUR,NACE,Code,3511,Loan,No,,,,
L49,C49,Yoki Alimentos Sa,UP49,Classic Textiles,305433,EUR,"1976499,3",EUR,NACE,Code,3511,Loan,No,,,,
L50,C50,Ymca Milford/Woodruff,UP50,Renova Group,231193,EUR,"1902435,3",EUR,NACE,Code,3511,Loan,No,,,,
L51,C51,Ymc Build More Pvt Ltd,UP51,Empresa Administradora Chungar Sac,236761,EUR,"1907990,1",EUR,NACE,Code,3511,Loan,No,,,,
L52,C52,"Ykk Usa, Inc.",UP52,Daimachi Natural Energy Research Inc,358329,EUR,"2029269,9",EUR,NACE,Code,3511,Loan,No,,,,
L53,C53,Ykk Gps (Queensland) Pty Ltd.,UP53,Energiegenossenschaft Schwalm-Knull Eg,325849,EUR,"1996866,9",EUR,NACE,Code,3511,Loan,No,,,,
L54,C54,Yiyang Kaidi Green Energy Development Co. Ltd.,UP54,Cattle Farm Tamminga,232121,EUR,"1903361,1",EUR,NACE,Code,3511,Loan,No,,,,
L55,C55,"Yiyang Baoyuan Power Generation Co., Ltd.",UP55,Dahua Engineering Management,239545,EUR,"1910767,5",EUR,NACE,Code,3511,Loan,No,,,,
L56,C56,Yit Corporation,UP56,Rtr Capital Srl,359257,EUR,"2030195,7",EUR,NACE,Code,3511,Loan,No,,,,
L57,C57,Yingli Green Energy Holding Co Ltd,UP57,Ecoware S.P.A.,382457,EUR,"2053340,7",EUR,NACE,Code,3511,Loan,No,,,,
L58,C58,Yingli Energy (China) Co Ltd,UP58,Kuopion Energia Oy,234905,EUR,"1906138,5",EUR,NACE,Code,3511,Loan,No,,,,
L59,C59,Yingjiang Nandihe Hydropower Co. Ltd.,UP59,Lakshmi Ring Travellers (Coimbatore) Ltd.,249753,EUR,"1920951,3",EUR,NACE,Code,3511,Loan,No,,,,
L60,C60,"Yingjiang Mulong River Hydropower Exploitation Co., Ltd.",UP60,Oekostrom Ag,371321,EUR,"2042231,1",EUR,NACE,Code,3511,Loan,No,,,,
L61,C61,"Yingjiang Mingyu Electric Power Development Co.,Ltd.",UP61,"Sky Volt, Llc",405657,EUR,"2076485,7",EUR,NACE,Code,3511,Loan,No,,,,
L62,C62,Yingjiang Mengyuan Electricity Development Co Ltd,UP62,Alands Vindkraft Ab,238617,EUR,"1909841,7",EUR,NACE,Code,3511,Loan,No,,,,
L63,C63,Yingjiang Mengdian River Second Level Power Station Co Ltd.,UP63,Rosa Flora Ltd.,252537,EUR,"1923728,7",EUR,NACE,Code,3511,Loan,No,,,,
L64,C64,"Yingjiang Longhui Co., Ltd.",UP64,St. Mary Home,376889,EUR,"2047785,9",EUR,NACE,Code,3511,Loan,No,,,,
L65,C65,"Yingjiang Hongfu Investment Co., Ltd.",UP65,Destilaria Alcidia S/A,399161,EUR,"2070005,1",EUR,NACE,Code,3511,Loan,No,,,,
L66,C66,"Yingjiang County Mingliang Trading Co., Ltd.",UP66,Hydro Jet (Pvt) Ltd,251609,EUR,"1922802,9",EUR,NACE,Code,3511,Loan,No,,,,
L67,C67,"Yingjiang County Binglang River Hydroelectric Power Co., Ltd.",UP67,"Maple Leaf Dairy, Inc.",264601,EUR,"1935764,1",EUR,NACE,Code,3511,Loan,No,,,,
L68,C68,Yin Ech,UP68,Edison Mission Group Inc.,379673,EUR,"2050563,3",EUR,NACE,Code,3511,Loan,No,,,,
L69,C69,Yima Jinjiang Energy Comprehensive Utilisation Company Limited,UP69,Shah Foils Pvt Ltd,233977,EUR,"1905212,7",EUR,NACE,Code,3511,Loan,No,,,,
L70,C70,Yiliang Dianneng Luoze River Basin Power Generation Limited,UP70,Hidroel. Coto Minero. S.A.,253465,EUR,"1924654,5",EUR,NACE,Code,3511,Loan,No,,,,
L71,C71,Yildiz Enerji Elektrik Uretim A.S.,UP71,Epr Thetford Limited,271097,EUR,"1942244,7",EUR,NACE,Code,3511,Loan,No,,,,
L72,C72,Yildirim Group,UP72,"Tri Energy Co., Ltd.",380601,EUR,"2051489,1",EUR,NACE,Code,3511,Loan,No,,,,
L73,C73,Yildirim Energy Investments Inc,UP73,Dakota Magic Casino & Hotel,349977,EUR,"2020937,7",EUR,NACE,Code,3511,Loan,No,,,,
L74,C74,"Yilan Longyuan Huineng Wind Power Co., Ltd.",UP74,City Of Utsunomiya,254393,EUR,"1925580,3",EUR,NACE,Code,3511,Loan,No,,,,
L75,C75,"Yidu East Sunshine Industrial Development Co., Ltd.",UP75,Quest Energy Llc,277593,EUR,"1948725,3",EUR,NACE,Code,3511,Loan,No,,,,
L76,C76,"Yichun Xinganling Wind Power Co., Ltd.",UP76,Biopower Systems Pty Ltd,399161,EUR,"2070005,1",EUR,NACE,Code,3511,Loan,No,,,,
L77,C77,Nanjing Guodian Nanjing Automation New Energy Technology Co Ltd,UP77,Techint Compagnia Tecnica Internazionale Spa,404729,EUR,"2075559,9",EUR,NACE,Code,3511,Loan,No,,,,
L78,C78,Nanjing Gcl New Energy,UP78,Armada Kommunfastigheter Ab,257177,EUR,"1928357,7",EUR,NACE,Code,3511,Loan,No,,,,
L79,C79,Nanjing Chemical Industries Co Ltd,UP79,Parque De Generacion Aguaprieta Sapi De Cv,283161,EUR,"1954280,1",EUR,NACE,Code,3511,Loan,No,,,,
L80,C80,Naniwa Energy Llc,UP80,Jp Jewellers,401017,EUR,"2071856,7",EUR,NACE,Code,3511,Loan,No,,,,
L81,C81,Nandi Roller Flour Mills Pvt. Ltd.,UP81,Vier Industry And Trade Mate Ltd,411225,EUR,"2082040,5",EUR,NACE,Code,3511,Loan,No,,,,
L82,C82,Nandhi Spinning Mills Private Limited,UP82,Elaqua Ag,260889,EUR,"1932060,9",EUR,NACE,Code,3511,Loan,No,,,,
L83,C83,Nandan Wind Energy Development,UP83,Innovent Sas,286873,EUR,"1957983,3",EUR,NACE,Code,3511,Loan,No,,,,
L84,C84,Nanco Hosiery Mills,UP84,Standard Solar Inc,408441,EUR,"2079263,1",EUR,NACE,Code,3511,Loan,No,,,,
L85,C85,"Nanchong Electric Power Development Co., Ltd.",UP85,Kksk Sharira Wind,198713,EUR,"1870032,3",EUR,NACE,Code,3511,Loan,No,,,,
L86,C86,Nanaimo Forest Products Ltd.,UP86,Aba Hydropower Generation Co Ltd,263673,EUR,"1934838,3",EUR,NACE,Code,3511,Loan,No,,,,
L87,C87,Nana Layja Power Co. Ltd.,UP87,Song Ba Joint Stock Company,296153,EUR,"1967241,3",EUR,NACE,Code,3511,Loan,No,,,,
L88,C88,Nampower,UP88,"Guohua (Tongliao) Wind Power Co., Ltd.",409369,EUR,"2080188,9",EUR,NACE,Code,3511,Loan,No,,,,
L89,C89,Nammo Liab Ab,UP89,Warmeverbundkraftwerk Freiburg Gmbh,235833,EUR,"1907064,3",EUR,NACE,Code,3511,Loan,No,,,,
L90,C90,Namhae Energy,UP90,Zhejiang Electric Power Industry Bureau,314713,EUR,"1985757,3",EUR,NACE,Code,3511,Loan,No,,,,
L91,C91,Namgis First Nation,UP91,"Jericho Rise Wind Farm, Llc",395449,EUR,"2066301,9",EUR,NACE,Code,3511,Loan,No,,,,
L92,C92,Nama Holding Company Saoc,UP92,Power Electronics Ltd.,241401,EUR,"1912619,1",EUR,NACE,Code,3511,Loan,No,,,,
L93,C93,Nam Lum Hydroelectric,UP93,Allianz Capital Partners Gmbh,242329,EUR,"1913544,9",EUR,NACE,Code,3511,Loan,No,,,,
L94,C94,"Nam Long Power Co., Ltd.",UP94,Bhagawati Hydropower Development Company,269241,EUR,"1940393,1",EUR,NACE,Code,3511,Loan,No,,,,
L95,C95,Nam Chien Hydropower Joint Stock Company,UP95,Sembcorp Utilities (Uk) Ltd,300793,EUR,"1971870,3",EUR,NACE,Code,3511,Loan,No,,,,
L96,C96,Nalsing Gad Hydropower Development Committee,UP96,Tolsa S.A.,182937,EUR,"1854293,7",EUR,NACE,Code,3511,Loan,No,,,,
L97,C97,Nalini Properties Pvt. Ltd.,UP97,Kaytee Apex Pvt. Ltd.,311929,EUR,"1982979,9",EUR,NACE,Code,3511,Loan,No,,,,
L98,C98,Nagreeka Foils Ltd,UP98,City Maebashi,272953,EUR,"1944096,3",EUR,NACE,Code,3511,Loan,No,,,,
L99,C99,Nagpur Tools Pvt. Ltd.,UP99,Cattle Farm Ubbels,304505,EUR,"1975573,5",EUR,NACE,Code,3511,Loan,No,,,,
L100,C100,Nagina Cotton Mills Ltd,UP100,Bombay Crimper,215417,EUR,"1886696,7",EUR,NACE,Code,3511,Loan,No,,,,
L101,C101,Hakushin Kisen,UP101,Arriva Shipping As,321209,EUR,"1992237,9",EUR,NACE,Code,3011,Loan,No,,,,
L102,C102,Hakuyo Kisen Kk,UP102,Kalkan Denizcilik Petrol,276665,EUR,"1947799,5",EUR,NACE,Code,3011,Loan,No,,,,
L103,C103,Hakvoort Transport Shipping Bv,UP103,Mulya Bahari Perkasa,307289,EUR,"1978350,9",EUR,NACE,Code,3011,Loan,No,,,,
L104,C104,Hal Corporation Kk,UP104,Tanzania Govt,219129,EUR,"1890399,9",EUR,NACE,Code,3011,Loan,No,,,,
L105,C105,Halkidon Shipping Corp,UP105,Ukrainian Danube Shipping Co,367609,EUR,"2038527,9",EUR,NACE,Code,3011,Loan,No,,,,
L106,C106,Halong Import Export,UP106,Yosqui Investments Corp,280377,EUR,"1951502,7",EUR,NACE,Code,3011,Loan,No,,,,
L107,C107,Haltbakk Bunkers As,UP107,Showa Nittan Maritime Co Ltd,330489,EUR,"2001495,9",EUR,NACE,Code,3011,Loan,No,,,,
L108,C108,Halten Bulk As,UP108,Labrador Marine Inc,221913,EUR,"1893177,3",EUR,NACE,Code,3011,Loan,No,,,,
L109,C109,Ham Rong Shipping Jsc,UP109,Tsetan-Bunker Co Ltd,250681,EUR,"1921877,1",EUR,NACE,Code,3011,Loan,No,,,,
L110,C110,Hamaguchi Kaiun,UP110,United Shipping Lines Ltd,282233,EUR,"1953354,3",EUR,NACE,Code,3011,Loan,No,,,,
L111,C111,Hamaguchi Kaiun Yk,UP111,Zhoushan Hefeng Shipping Co,348121,EUR,"2019086,1",EUR,NACE,Code,3011,Loan,No,,,,
L112,C112,Hamamoto Kaijo Yk,UP112,Zhoushan Zhongchang Shipping,228409,EUR,"1899657,9",EUR,NACE,Code,3011,Loan,No,,,,
L113,C113,Hamano Kaiun Kk,UP113,Zurich Ag,347193,EUR,"2018160,3",EUR,NACE,Code,3011,Loan,No,,,,
L114,C114,Hamasaki Kaiun Kk,UP114,Jet Shipmanagement Ltd,285017,EUR,"1956131,7",EUR,NACE,Code,3011,Loan,No,,,,
L115,C115,Hamaura Kaiun,UP115,Highland Maritime Co Ltd,353689,EUR,"2024640,9",EUR,NACE,Code,3011,Loan,No,,,,
L116,C116,Hamayu Kaiun,UP116,Carten Shipping As,246041,EUR,"1917248,1",EUR,NACE,Code,3011,Loan,No,,,,
L117,C117,Hamburg Sud Italia Srl,UP117,Shanghai Dingheng Shpg Co Ltd,391737,EUR,"2062598,7",EUR,NACE,Code,3011,Loan,No,,,,
L118,C118,Hamburg Sudamerikanische,UP118,Nsb Niederelbe Schiffahrtsges,290585,EUR,"1961686,5",EUR,NACE,Code,3011,Loan,No,,,,
L119,C119,Hamburger Lloyd,UP119,Foong Sun Shipping Pte Ltd,361113,EUR,"2032047,3",EUR,NACE,Code,3011,Loan,No,,,,
L120,C120,Hamer Balikcilik Ve Denizcilik,UP120,Zadeh Mk,262745,EUR,"1933912,5",EUR,NACE,Code,3011,Loan,No,,,,
L121,C121,Hamidavi A,UP121,Grater Trading Inc,220985,EUR,"1892251,5",EUR,NACE,Code,3011,Loan,No,,,,
L122,C122,Hammann & Prahm Reederei Gmbh,UP122,Mayaka Owanga E,292441,EUR,"1963538,1",EUR,NACE,Code,3011,Loan,No,,,,
L123,C123,Hammonia Reederei Gmbh,UP123,Pasabahce Denizcilik Turizm,364825,EUR,"2035750,5",EUR,NACE,Code,3011,Loan,No,,,,
L124,C124,Hammy Distributors & Services,UP124,Alyzia Shipping Co,274809,EUR,"1945947,9",EUR,NACE,Code,3011,Loan,No,,,,
L125,C125,Hamza Engineering & Electric,UP125,Zhoushan Yongcheng Marine Co,244185,EUR,"1915396,5",EUR,NACE,Code,3011,Loan,No,,,,
L126,C126,Hamza Shipping Co,UP126,Mammiri Line Pt,302649,EUR,"1973721,9",EUR,NACE,Code,3011,Loan,No,,,,
L127,C127,Han Dong,UP127,Rosneft Jsc,365753,EUR,"2036676,3",EUR,NACE,Code,3011,Loan,No,,,,
L128,C128,Han Gang Tankers Inc,UP128,Simon Mokster Shipping As,287801,EUR,"1958909,1",EUR,NACE,Code,3011,Loan,No,,,,
L129,C129,Han Il Shipping,UP129,Zhang Yf,394521,EUR,"2065376,1",EUR,NACE,Code,3011,Loan,No,,,,
L130,C130,Han Navigator Shipping Pte Ltd,UP130,Kartrade Oil Ltd,306361,EUR,"1977425,1",EUR,NACE,Code,3011,Loan,No,,,,
L131,C131,Han Ren Heavylift Shipping Co,UP131,Akij Shipping Line Ltd,372249,EUR,"2043156,9",EUR,NACE,Code,3011,Loan,No,,,,
L132,C132,Han Ship Management Pte Ltd,UP132,Valour Offshore Marine Service,289657,EUR,"1960760,7",EUR,NACE,Code,3011,Loan,No,,,,
L133,C133,Han Sung Line Co Ltd,UP133,China Shipping Bulk Carrier Co,248825,EUR,"1920025,5",EUR,NACE,Code,3011,Loan,No,,,,
L134,C134,Hana Marine Co Ltd,UP134,Kurilskiy Rybak Jsc,326777,EUR,"1997792,7",EUR,NACE,Code,3011,Loan,No,,,,
L135,C135,Hanaro Shipping Co Ltd-Busan,UP135,Avin International Ltd,400089,EUR,"2070930,9",EUR,NACE,Code,3011,Loan,No,,,,
L136,C136,Hanaro Shipping Co Ltd-Seoul,UP136,Ir-Bos Trans Ltd,247897,EUR,"1919099,7",EUR,NACE,Code,3011,Loan,No,,,,
L137,C137,Handal Mutiara Pacific,UP137,Dan Xuan Shipping Co Ltd,259033,EUR,"1930209,3",EUR,NACE,Code,3011,Loan,No,,,,
L138,C138,Handong Marine,UP138,Fujian Province Nan'An City,310073,EUR,"1981128,3",EUR,NACE,Code,3011,Loan,No,,,,
L139,C139,Handong Shipbuilding Co Ltd,UP139,Manisa Bulk Uk Ltd,375961,EUR,"2046860,1",EUR,NACE,Code,3011,Loan,No,,,,
L140,C140,Handytankers K/S,UP140,Thanh Trung Transport Co Ltd,299865,EUR,"1970944,5",EUR,NACE,Code,3011,Loan,No,,,,
L141,C141,Hanei Kaiun,UP141,Sampaguita Shipping Corp,190361,EUR,"1861700,1",EUR,NACE,Code,3011,Loan,No,,,,
L142,C142,Hang Hai Co Ltd,UP142,Africon Shipping Sa,318425,EUR,"1989460,5",EUR,NACE,Code,3011,Loan,No,,,,
L143,C143,Hang Woo Ship Management Ltd,UP143,Sea-Cargo As,385241,EUR,"2056118,1",EUR,NACE,Code,3011,Loan,No,,,,
L144,C144,Hangli Shipping Pte Ltd,UP144,Yu Xing Shipping Ltd,313785,EUR,"1984831,5",EUR,NACE,Code,3011,Loan,No,,,,
L145,C145,Hanil Express Co Ltd,UP145,Katsumaru Kaiun,214489,EUR,"1885770,9",EUR,NACE,Code,3011,Loan,No,,,,
L146,C146,Hanison,UP146,Picnic Marine Co Ltd,322137,EUR,"1993163,7",EUR,NACE,Code,3011,Loan,No,,,,
L147,C147,Hanjin Heavy Industries & Cons,UP147,Kuang Ming (Liberia) Corp,390809,EUR,"2061672,9",EUR,NACE,Code,3011,Loan,No,,,,
L148,C148,Hanjin Overseas Bulk Ltd,UP148,Korea Uljibong Shipping Co,317497,EUR,"1988534,7",EUR,NACE,Code,3011,Loan,No,,,,
L149,C149,Hanjin Overseas Tanker Pte Ltd,UP149,Giant Shipping Lines,218201,EUR,"1889474,1",EUR,NACE,Code,3011,Loan,No,,,,
L150,C150,Hanjin Shipping Co Ltd,UP150,Mentari Surya Pradana Pt,323993,EUR,"1995015,3",EUR,NACE,Code,3011,Loan,No,,,,
L151,C151,Shaanxi Auto,UP151,Zoox,396377,EUR,"2067227,7",EUR,NACE,Code,291,Loan,No,,,,
L152,C152,Shandong Auto,UP152,Shandong Kama,319353,EUR,"1990386,3",EUR,NACE,Code,291,Loan,No,,,,
L153,C153,Shandong Kama,UP153,Huanghai Motors,258105,EUR,"1929283,5",EUR,NACE,Code,291,Loan,No,,,,
L154,C154,Shandong Tangjun Ouling,UP154,Electric Mobility Solutions,332345,EUR,"2003347,5",EUR,NACE,Code,291,Loan,No,,,,
L155,C155,Shanghai Automotive Industry Corp,UP155,Guizhou Yunque,203353,EUR,"1874661,3",EUR,NACE,Code,291,Loan,No,,,,
L156,C156,Shanxi Dayun,UP156,Jiangling Jingma,329561,EUR,"2000570,1",EUR,NACE,Code,291,Loan,No,,,,
L157,C157,Shenyang Polarsun,UP157,Yulon,261817,EUR,"1932986,7",EUR,NACE,Code,291,Loan,No,,,,
L158,C158,Shuanghuan Auto,UP158,Santana,337913,EUR,"2008902,3",EUR,NACE,Code,291,Loan,No,,,,
L159,C159,Sichuan Auto,UP159,Otokar,227481,EUR,"1898732,1",EUR,NACE,Code,291,Loan,No,,,,
L160,C160,Singulato,UP160,Morattab,334201,EUR,"2005199,1",EUR,NACE,Code,291,Loan,No,,,,
L161,C161,Sinotruk,UP161,Jiangxi Huaxiang Fuqi,273881,EUR,"1945022,1",EUR,NACE,Code,291,Loan,No,,,,
L162,C162,South-East Automobile,UP162,"San Yang Industry Co., Ltd.",338841,EUR,"2009828,1",EUR,NACE,Code,291,Loan,No,,,,
L163,C163,Streetscooter,UP163,Xiaopeng,245113,EUR,"1916322,3",EUR,NACE,Code,291,Loan,No,,,,
L164,C164,Subaru Corp,UP164,Faraday Future,335129,EUR,"2006124,9",EUR,NACE,Code,291,Loan,No,,,,
L165,C165,Sunwin Bus,UP165,Dongfeng-Luxgen,285945,EUR,"1957057,5",EUR,NACE,Code,291,Loan,No,,,,
L166,C166,Suzuki Motor Corp,UP166,Perodua,339769,EUR,"2010753,9",EUR,NACE,Code,291,Loan,No,,,,
L167,C167,Tagaz/Doninvest,UP167,Pininfarina-Bollore,295225,EUR,"1966315,5",EUR,NACE,Code,291,Loan,No,,,,
L168,C168,Tarpan,UP168,Faw Toyota,336985,EUR,"2007976,5",EUR,NACE,Code,291,Loan,No,,,,
L169,C169,Tata Group,UP169,Saic Gm Dongyue,324921,EUR,"1995941,1",EUR,NACE,Code,291,Loan,No,,,,
L170,C170,Tesla Inc,UP170,Aston Martin,341625,EUR,"2012605,5",EUR,NACE,Code,291,Loan,No,,,,
L171,C171,Tianjin Meiya,UP171,Vab Sipox,303577,EUR,"1974647,7",EUR,NACE,Code,291,Loan,No,,,,
L172,C172,Tofas,UP172,Leeco,344409,EUR,"2015382,9",EUR,NACE,Code,291,Loan,No,,,,
L173,C173,Toyota Motor Corp,UP173,Sanjiang Renault,333273,EUR,"2004273,3",EUR,NACE,Code,291,Loan,No,,,,
L174,C174,Tvr,UP174,Chehejia,342553,EUR,"2013531,3",EUR,NACE,Code,291,Loan,No,,,,
L175,C175,Uaz,UP175,Wuling,312857,EUR,"1983905,7",EUR,NACE,Code,291,Loan,No,,,,
L176,C176,Vab Sipox,UP176,Hebei Yujie Vehicle Corporation,349049,EUR,"2020011,9",EUR,NACE,Code,291,Loan,No,,,,
L177,C177,Vinfast,UP177,Naza Motor,270169,EUR,"1941318,9",EUR,NACE,Code,291,Loan,No,,,,
L178,C178,Volkswagen Ag,UP178,Jianghuai-Vw,340697,EUR,"2011679,7",EUR,NACE,Code,291,Loan,No,,,,
